,SOURCE_ID,mag_abs,v_tan,l,b,g_rp
4282,3450529622700300800,9.139496652808418,125.40686516018248,179.03434211113853,6.548226477832318,1.0207062
4287,3449337060606699264,10.102668129440115,129.4304673042675,175.39307938222174,1.5038541056815768,1.0890255
4289,3450103493228402432,8.512364286332335,125.07831854237831,179.20274856372507,3.8323601181121467,0.96086025
4294,3449737454639791488,8.572133119174577,128.94767531053867,173.64924853174384,1.9957046732232249,1.0297279
4654,3449793568389153152,9.766055772444656,120.72040688584227,180.44652700097797,3.7591214323644877,1.1162109
4668,3450605553429884544,9.834623944807177,111.65614621787454,178.9810937997828,4.9283936907282415,1.1599522
4708,3449802978659611136,11.390083039084374,116.61885188792884,180.35484466376346,3.9456306221903263,1.1929655
4716,3449804456128426624,9.565573649351887,182.4373752803099,180.33749849350355,4.074895615990118,1.079071
4847,3449830054134694656,10.685415609948453,105.52632630589346,180.15902068539253,3.2935426861549097,1.2444324
4859,3449832390596891392,10.79621207872799,144.49158744006675,180.06724368957134,3.1294797617053933,1.1899853
4867,3450648296952521984,10.29919727751275,128.4772390295753,178.79628373167102,5.549680364219167,1.2669506
4928,3451318625376361088,10.685781106664372,107.31074313539185,177.44769928421817,3.7949070427039158,1.132061
4972,3449849261229268224,10.15836995194378,118.58581101925267,179.86114061234977,3.2833707113493733,1.0460148
5015,3451010070633135360,10.746973682797666,108.40421271675562,177.8828514175513,3.3272474986152467,1.1247463
5136,3451020412907996928,10.21421199950905,140.5386954363201,177.77473036229367,3.466221187916785,1.1199532
5137,3451341435945626624,10.095237862082623,131.09842760894094,177.43180126812027,4.081133594871823,1.1634922
5193,3450218078657638528,9.385282810000497,121.04803980808047,179.18341862068075,4.4600775970282225,1.1330414
5284,3451039551282402048,10.652587246668237,100.6022301972359,178.28292323064667,4.0886322298343485,1.2743683
5428,3451058724017364352,8.833755651847358,101.69914679806239,177.99948274904548,4.095323414020658,1.0464783
5642,3449545383701735680,9.92930429022336,121.23553439801825,174.1886355739688,1.1708857950565703,1.0935345
5795,3450298033768625408,9.185210704686554,114.55359853674014,178.61691113176758,4.65018532859906,1.0562954
5828,3450302191297030272,9.752537721295504,173.60437416358423,178.517891407372,4.61158813502891,0.9221573
5925,3450840470959777408,9.481837575103363,113.96947871375714,177.97259610102594,5.755849828530701,1.1252499
5966,3451132670471372288,10.423690238637747,211.7686919517756,177.83559242067227,4.296736808544656,0.9875717
5984,3450848343634942336,8.872292537134271,207.01915137072112,178.13413152389393,6.0052365110799615,1.0005455
6014,3450854283574996736,9.2769755635634,108.32880751178384,177.96044344289677,6.039260118471106,1.0898972
6145,3451153664271189888,8.622726564782361,239.35822259720734,177.449150878255,4.127772127362374,1.02141
6169,3450031092963719552,10.944102607571281,221.80939335444612,179.39604847133543,4.605185891648483,1.0919266
6184,3449621524882965760,9.693974314047413,123.76006484026229,174.4445249517626,1.3755238497875455,1.1363468
6191,3450887268922839424,8.827339027019203,110.55519322752758,178.71734507837976,3.068084346643954,1.0913601
6231,3451166888472855296,8.905939224360953,127.925503448974,177.91210815216417,2.829631043523134,1.0877151
6234,3450892869560274560,11.598437334238405,121.94812534114425,178.73230560161429,3.1741019681910583,1.1887312
6253,3451169877781273600,8.549548675870689,186.67157812020747,177.78493849988408,2.7965179405242373,1.0121098
6319,3451180323130933120,9.290826487738826,108.16867484426683,177.68291943677067,3.0707195277902644,1.042119
6352,3450398742162456192,9.086130663284333,125.20333060071218,179.33614225109426,4.978942926439574,1.0484161
6384,3450413727303160320,9.779095787797182,112.49207451125513,179.18467684500638,4.809620231351948,1.0779705
6457,3451216920552058112,10.577972885701687,173.75183917253352,177.48335014255596,3.5127655593356195,1.1271114
6460,3451218943478648832,10.433212380776197,104.68281081850941,177.4689211348122,3.117978788066568,1.1184196
6481,5042140048993885312,9.24856246049044,153.25827644586505,188.9919336340882,-81.34752545205626,1.0609703
6483,5042140250856521216,10.432033571344327,110.63423394736445,188.7778840893687,-81.38347985990771,1.1801128
6501,5042179970714537344,10.308534394923061,121.65346319158394,188.1797019907954,-80.66642112136975,1.1204357
6507,5042189041685432064,7.795575273479507,103.55321364946607,187.31310529365322,-81.12188467029495,0.9532833
6508,5042189350923079936,9.459697814272765,101.51297561390307,187.3541500371715,-81.10031445403851,1.0554714
6523,5042223332704282624,9.993187121508814,149.2844401973514,189.32315337337712,-80.43384877654901,1.2150631
6524,5042223779380892928,10.56119955543446,128.07907622110687,189.13627047297965,-80.41791816855421,1.260581
6535,5042242372295059584,8.138630759751237,154.74971403010557,189.62262799983372,-79.99967320472508,0.97072315
